iter,t-statistic,pvalue,pcutoff
795,2.223202551,0.026641,no
796,3.045130377,0.002447,no
797,3.733325025,0.00021,no
798,2.593358633,0.009778,no
799,4.008821251,7.00E-05,no
800,3.221849932,0.001355,no
801,1.791677028,0.07378,yes
802,3.267581831,0.001158,no
803,1.843041944,0.065905,yes
804,5.040845073,1.00E-06,no
805,3.637958134,0.000303,no
806,1.395738084,0.163403,yes
807,4.166354801,3.60E-05,no
808,2.388403842,0.017286,no
809,2.555491687,0.010894,no
810,4.27291284,2.30E-05,no
811,2.912784141,0.00374,no
812,3.986861244,7.70E-05,no
813,2.376402949,0.017852,no
814,3.76708035,0.000185,no
815,2.90226159,0.003866,no
816,3.148221188,0.001739,no
817,3.280058098,0.001109,no
818,2.498185659,0.012798,no
819,3.568345551,0.000393,no
820,3.451235083,0.000605,no
821,2.024245323,0.043468,no
822,4.234440048,2.70E-05,no
823,3.995255856,7.40E-05,no
824,3.752421649,0.000195,no
825,3.922479196,0.0001,no
826,1.919267301,0.05551,yes
827,1.725133187,0.085112,yes
828,2.93295684,0.003509,no
829,3.025932756,0.002604,no
830,4.244349713,2.60E-05,no
831,1.494868348,0.13557,yes
832,2.981844395,0.003003,no
833,4.246028409,2.60E-05,no
834,1.818106957,0.069637,yes
835,2.889136288,0.004028,no
836,3.589997041,0.000363,no
837,3.987483477,7.70E-05,no
838,1.933762667,0.053697,yes
839,4.19879257,3.20E-05,no
840,3.790262712,0.000169,no
841,4.085868538,5.10E-05,no
842,2.049131264,0.040962,no
843,3.723538496,0.000218,no
844,1.726080068,0.084941,yes
845,4.031268223,6.40E-05,no
846,3.675401036,0.000263,no
847,4.086161371,5.10E-05,no
848,2.031773287,0.042697,no
849,3.732432253,0.000211,no
850,4.134150393,4.20E-05,no
851,4.27051882,2.30E-05,no
852,3.686765357,0.000252,no
853,3.757498403,0.000192,no
854,3.557449263,0.00041,no
855,2.778659426,0.00566,no
856,4.209205914,3.00E-05,no
857,3.222308902,0.001353,no
858,3.219569003,0.001366,no
859,1.884900983,0.060014,yes
860,3.420906462,0.000674,no
861,3.567705548,0.000394,no
862,1.516544545,0.130004,yes
863,4.501667422,8.00E-06,no
864,3.046852047,0.002433,no
865,3.001074912,0.002823,no
866,4.244509608,2.60E-05,no
867,3.659372269,0.000279,no
868,2.796226548,0.005366,no
869,1.234692018,0.217516,yes
870,1.60964377,0.108097,yes
871,3.142375462,0.001774,no
872,1.497313323,0.134933,yes
873,3.606273651,0.000341,no
874,4.276115901,2.30E-05,no
875,3.342731996,0.000891,no
876,2.681107376,0.007577,no
877,4.069538166,5.50E-05,no
878,2.156105673,0.031544,no
879,2.597115386,0.009674,no
880,4.013298132,6.90E-05,no
881,2.675746395,0.007697,no
882,4.722595359,3.00E-06,no
883,3.381602141,0.000776,no
884,2.593723989,0.009768,no
