net_id,E-E,E-N,N-E,N-N
rand_0.1_451_net.csv,619,1413,1908,5115
rand_0.1_452_net.csv,608,1412,1931,5104
rand_0.1_453_net.csv,608,1421,1922,5104
rand_0.1_454_net.csv,605,1439,1910,5101
rand_0.1_455_net.csv,610,1420,1919,5106
rand_0.1_456_net.csv,596,1426,1941,5092
rand_0.1_457_net.csv,587,1419,1966,5083
rand_0.1_458_net.csv,586,1426,1961,5082
rand_0.1_459_net.csv,578,1436,1967,5074
rand_0.1_46_net.csv,592,1390,1985,5089
rand_0.1_460_net.csv,577,1438,1967,5073
rand_0.1_461_net.csv,588,1442,1941,5084
rand_0.1_462_net.csv,589,1418,1963,5085
rand_0.1_463_net.csv,596,1425,1942,5092
rand_0.1_464_net.csv,608,1432,1911,5104
rand_0.1_465_net.csv,602,1444,1911,5098
rand_0.1_466_net.csv,613,1434,1899,5109
rand_0.1_467_net.csv,615,1442,1887,5111
rand_0.1_468_net.csv,616,1453,1874,5112
rand_0.1_469_net.csv,608,1475,1868,5104
rand_0.1_47_net.csv,596,1403,1964,5093
rand_0.1_470_net.csv,612,1440,1895,5108
rand_0.1_471_net.csv,612,1415,1920,5108
rand_0.1_472_net.csv,628,1400,1903,5124
rand_0.1_473_net.csv,623,1422,1891,5119
rand_0.1_474_net.csv,619,1402,1919,5115
rand_0.1_475_net.csv,619,1412,1909,5115
rand_0.1_476_net.csv,623,1397,1916,5119
rand_0.1_477_net.csv,618,1391,1932,5114
rand_0.1_478_net.csv,622,1388,1927,5118
rand_0.1_479_net.csv,610,1385,1954,5106
rand_0.1_48_net.csv,598,1410,1953,5095
rand_0.1_480_net.csv,606,1392,1955,5102
rand_0.1_481_net.csv,623,1373,1940,5119
rand_0.1_482_net.csv,608,1402,1941,5104
rand_0.1_483_net.csv,597,1432,1933,5093
rand_0.1_484_net.csv,617,1418,1907,5113
rand_0.1_485_net.csv,608,1412,1931,5104
rand_0.1_486_net.csv,609,1419,1922,5105
rand_0.1_487_net.csv,620,1387,1932,5116
rand_0.1_488_net.csv,620,1393,1926,5116
rand_0.1_489_net.csv,618,1385,1938,5114
rand_0.1_49_net.csv,578,1436,1967,5075
rand_0.1_490_net.csv,622,1398,1917,5118
rand_0.1_491_net.csv,616,1413,1914,5112
rand_0.1_492_net.csv,613,1421,1912,5109
rand_0.1_493_net.csv,609,1433,1908,5105
rand_0.1_494_net.csv,612,1441,1894,5108
rand_0.1_495_net.csv,615,1425,1904,5111
rand_0.1_496_net.csv,609,1419,1922,5105
rand_0.1_497_net.csv,619,1400,1921,5115
rand_0.1_498_net.csv,614,1400,1931,5110
rand_0.1_499_net.csv,604,1431,1920,5100
rand_0.1_5_net.csv,723,1357,1756,5219
rand_0.1_50_net.csv,589,1427,1954,5086
rand_0.1_500_net.csv,598,1424,1939,5094
rand_0.1_501_net.csv,604,1435,1916,5100
rand_0.1_502_net.csv,593,1436,1937,5089
rand_0.1_503_net.csv,610,1428,1911,5106
rand_0.1_504_net.csv,615,1420,1909,5111
rand_0.1_505_net.csv,609,1436,1905,5105
rand_0.1_506_net.csv,610,1438,1901,5106
rand_0.1_507_net.csv,595,1435,1934,5091
rand_0.1_508_net.csv,597,1440,1925,5093
rand_0.1_509_net.csv,617,1434,1891,5113
rand_0.1_51_net.csv,600,1417,1942,5097
rand_0.1_510_net.csv,611,1418,1919,5107
rand_0.1_511_net.csv,620,1411,1908,5116
rand_0.1_512_net.csv,619,1407,1914,5115
rand_0.1_513_net.csv,610,1408,1931,5106
rand_0.1_514_net.csv,606,1413,1934,5102
rand_0.1_515_net.csv,601,1419,1938,5097
rand_0.1_516_net.csv,597,1417,1948,5093
rand_0.1_517_net.csv,596,1408,1959,5092
rand_0.1_518_net.csv,602,1416,1939,5098
rand_0.1_519_net.csv,604,1423,1928,5100
rand_0.1_52_net.csv,597,1409,1956,5094
rand_0.1_520_net.csv,623,1384,1929,5119
rand_0.1_521_net.csv,626,1392,1915,5122
rand_0.1_522_net.csv,635,1389,1900,5131
rand_0.1_523_net.csv,630,1421,1878,5126
rand_0.1_524_net.csv,620,1442,1877,5116
rand_0.1_525_net.csv,619,1429,1892,5115
rand_0.1_526_net.csv,627,1415,1890,5123
rand_0.1_527_net.csv,609,1434,1907,5105
rand_0.1_528_net.csv,609,1429,1912,5105
rand_0.1_529_net.csv,614,1406,1925,5110
rand_0.1_53_net.csv,603,1410,1943,5100
rand_0.1_530_net.csv,619,1409,1912,5115
rand_0.1_531_net.csv,612,1403,1932,5108
rand_0.1_532_net.csv,620,1382,1937,5116
rand_0.1_533_net.csv,630,1398,1901,5126
rand_0.1_534_net.csv,643,1377,1896,5139
rand_0.1_535_net.csv,630,1403,1896,5126
rand_0.1_536_net.csv,631,1393,1904,5127
rand_0.1_537_net.csv,619,1398,1923,5115
rand_0.1_538_net.csv,638,1383,1900,5134
rand_0.1_539_net.csv,619,1398,1923,5115
rand_0.1_54_net.csv,595,1430,1939,5092
rand_0.1_540_net.csv,621,1402,1915,5117
rand_0.1_541_net.csv,611,1395,1942,5107
rand_0.1_542_net.csv,620,1416,1903,5116
rand_0.1_543_net.csv,619,1397,1924,5115
rand_0.1_544_net.csv,622,1398,1917,5118
rand_0.1_545_net.csv,618,1403,1920,5114
rand_0.1_546_net.csv,625,1403,1906,5121
rand_0.1_547_net.csv,630,1410,1889,5126
rand_0.1_548_net.csv,623,1414,1899,5119
rand_0.1_549_net.csv,624,1397,1914,5120
rand_0.1_55_net.csv,608,1401,1942,5105
rand_0.1_550_net.csv,625,1427,1882,5121
rand_0.1_551_net.csv,618,1413,1910,5114
rand_0.1_552_net.csv,607,1427,1918,5103
rand_0.1_553_net.csv,609,1403,1938,5105
rand_0.1_554_net.csv,597,1417,1948,5093
rand_0.1_555_net.csv,596,1444,1923,5092
rand_0.1_556_net.csv,598,1420,1943,5094
rand_0.1_557_net.csv,605,1408,1941,5101
rand_0.1_558_net.csv,609,1425,1916,5105
rand_0.1_559_net.csv,602,1444,1911,5098
rand_0.1_56_net.csv,621,1389,1928,5118
rand_0.1_560_net.csv,612,1425,1910,5108
rand_0.1_561_net.csv,606,1443,1904,5102
rand_0.1_562_net.csv,606,1421,1926,5102
rand_0.1_563_net.csv,600,1433,1926,5096
rand_0.1_564_net.csv,612,1415,1920,5108
rand_0.1_565_net.csv,623,1417,1896,5119
rand_0.1_566_net.csv,617,1411,1914,5113
